Tag,Kernenergie(GWh),Laufwasser(GWh),Biomasse(GWh),Braunkohle(GWh),Steinkohle(GWh),Öl(GWh),Erdgas(GWh),Geothermie(GWh),Speicherwasser(GWh),Andere(GWh),Erneuerbarer Müll(GWh),Nicht-erneuerbarer Müll(GWh),Wind Offshore(GWh),Wind Onshore(GWh),Solar(GWh)
01.01.2023,58.91,41.18,119.37,97.6,47,7.37,50.6,0.6,1.41,4.5,11.86,13.38,109.01,543.99,43.5
02.01.2023,58.91,41.23,122.5,256.08,72.36,7.34,72.6,0.61,1.52,5.25,12.33,13.92,85.47,563.27,33.72
03.01.2023,58.93,43.86,124.48,315.82,150.19,7.22,104.04,0.63,1.42,6.58,11.85,13.38,101.9,317.32,44.22
04.01.2023,58.31,43.28,124.04,121.73,118.06,7.14,71.86,0.6,1.51,4.65,8.68,9.8,124.67,935.77,13.44
05.01.2023,57.96,43.3,126.5,210.6,149.82,7.26,106.9,0.58,1.61,6.01,8.4,9.48,61.97,616.65,22.45
06.01.2023,57.9,41.39,127.83,243.94,105.68,7.39,95.52,0.64,1.14,5.9,12.85,14.5,134.26,499.02,29.55
07.01.2023,57.69,40.01,127.6,171.12,52.19,7.58,70.05,0.66,0.99,4.82,12.26,13.84,140.3,428.78,46.06
08.01.2023,57.8,40.26,127.08,159.38,51.53,7.7,70.6,0.63,1.64,4.93,12.87,14.53,148.99,457.12,23
09.01.2023,57.47,43.15,127.44,298.93,137.24,7.74,110.24,0.6,2.39,5.32,12.82,14.46,96,430.19,25.82
10.01.2023,57.29,47.14,126.44,337.45,155.74,7.46,112.07,0.63,1.97,5.56,12.33,13.92,94.44,494.18,29.04
11.01.2023,56.83,47.41,125.44,254.4,136.63,7.38,97.64,0.55,1.87,5.19,12.22,13.79,116.72,671.59,18.9
12.01.2023,56.32,47.72,125.52,154.85,111.52,7.13,81.35,0.55,1.8,4.79,12.29,13.87,115.53,926.92,19.12
13.01.2023,55.48,48.57,126.38,115.58,104.33,7.05,99.1,0.6,2.31,5.06,11.23,12.67,102.9,909.17,35.8
14.01.2023,56.13,45.43,125.86,99.21,72.32,7.2,73.54,0.61,0.95,4.56,11.1,12.52,141.16,824.08,30.16
15.01.2023,55.84,41.67,124.1,102.09,79.49,6.98,74.41,0.69,1.43,4.32,11.12,12.55,110.57,864.62,24.32
16.01.2023,55.7,43.97,127.06,266.95,170.96,6.91,138.83,0.72,1.5,5.25,10.69,12.06,80.24,589.49,50.7
17.01.2023,55.35,44.64,127.34,309.69,223.12,10,179.54,0.72,2.55,5.31,10.45,11.79,120.01,422.66,59.15
18.01.2023,54.86,46.11,128.25,328.38,270.35,6.97,224.79,0.71,1.75,5.64,10.7,12.08,113.18,246.85,33.22
19.01.2023,61.17,46.97,127.48,309.34,279.53,10.31,231.59,0.71,1.85,5.67,10.29,11.62,102.33,400.31,35.66
20.01.2023,65.62,50.65,128.41,346.29,316.77,7.92,267.15,0.72,2.12,5.8,11.06,12.49,23.44,83.99,24.73
21.01.2023,63.93,46.39,127.6,329.52,283.82,8.67,196.73,0.71,0.87,5.78,12.11,13.67,33.37,295.32,16.21
22.01.2023,50.19,41.01,127.99,342.78,270.17,7.59,208.83,0.65,1.02,5.82,12.86,14.51,45.46,217.04,7.6
