Tag,Kernenergie(GWh),Laufwasser(GWh),Biomasse(GWh),Braunkohle(GWh),Steinkohle(GWh),Öl(GWh),Erdgas(GWh),Geothermie(GWh),Speicherwasser(GWh),Andere(GWh),Erneuerbarer Müll(GWh),Nicht-erneuerbarer Müll(GWh),Wind Offshore(GWh),Wind Onshore(GWh),Solar(GWh)
01.01.2021,195.7,37.6,127.3,275.6,82.6,2.3,181.5,0.6,1,1.9,12.4,14.2,13.5,64.7,22.4
02.01.2021,195.2,36.4,128.1,301.9,93.6,2.3,198.3,0.6,1.2,1.6,12.7,14.6,17,70.5,16.5
03.01.2021,182.6,35.8,127.7,242.2,86.9,2.3,131.5,0.6,1.2,1.9,12.5,14.4,102.6,324.7,6.9
04.01.2021,181.7,36.4,126.7,325.2,174.6,2.3,238.6,0.6,2.8,1.9,11.9,13.7,121.2,264.5,5.6
05.01.2021,187.2,39.9,126.3,349.9,212.5,2.3,260.6,0.6,3.1,1.9,11.9,13.7,139.9,222.9,6.2
06.01.2021,194.9,39.9,126,341.2,242.1,2.3,269.6,0.4,1.9,1.9,12.4,14.2,88,136.9,7.4
07.01.2021,195.9,40.4,127.5,356.5,273.5,2.3,294.9,0.5,4,1.9,12.9,14.8,23.9,118.2,8.3
08.01.2021,195.7,42.2,127.4,354.3,272.7,2.3,317,0.5,2.7,1.9,12.7,14.6,22.3,98.1,9.5
09.01.2021,194.1,40,127.4,347.2,247.8,2.3,272.2,0.5,1.6,1.8,12.8,14.8,7.7,56.9,15.9
10.01.2021,191,36.7,127.5,329,173.2,2.3,221.3,0.5,1.9,1.8,12,13.8,80.4,156.8,29.6
11.01.2021,184.5,34.6,125.5,314.6,168.1,2.3,201.4,0.5,3.1,1.8,12.1,14,118.6,524.5,22.5
12.01.2021,183.7,36.8,125.3,277.2,174.6,2.4,197.5,0.5,1.7,1.8,12.1,13.9,121.9,587.9,12.2
13.01.2021,181.4,39.4,125.4,279.2,151.9,2.3,164.2,0.5,1.1,1.8,11.4,13.1,142.1,676.8,24.4
14.01.2021,194,43.6,126.4,346.3,226.2,2.4,265.4,0.5,1.6,1.8,11.2,12.9,64.3,271.5,12.8
15.01.2021,196.5,44.7,127.2,381.5,256.7,2.3,309.7,0.5,3.3,1.9,11.4,13.1,22.1,140.7,22.9
16.01.2021,195.7,43.3,127.4,374.4,174.8,2.3,277.9,0.5,0.8,2,11.1,12.8,64.3,105.9,15.4
17.01.2021,195.7,37.9,126.2,351.9,173.6,2.3,245.1,0.5,0.8,1.8,11,12.7,55.6,79.1,15.1
18.01.2021,193.6,38.7,126.4,370.1,177.1,2.4,250.5,0.4,2.1,1.9,11.2,12.9,114.4,396,12
19.01.2021,191.4,42.7,125.5,318.7,161.5,3,154.1,0.5,1.6,1.9,11.9,13.7,114.7,667,11.7
20.01.2021,179.6,40.3,125.2,230.7,119.7,2.7,135.3,0.5,3.4,1.6,11.5,13.2,140.1,731,37
21.01.2021,180.8,36.1,125.1,190.9,105.4,2.3,120,0.5,2.6,1.5,11.5,13.2,108.6,815.4,44.1
22.01.2021,181.7,39,125.7,286,118.2,2.2,204.1,0.4,2.6,1.8,11.6,13.4,124.3,521.2,40.7
23.01.2021,193.9,42.5,126.2,379.8,125.2,2.2,185.3,0.5,2.1,1.8,11.8,13.6,60.4,180,24.1
24.01.2021,191.5,41.5,125.9,367.5,140.5,2.2,184.6,0.5,1.5,1.8,12.1,13.9,6,172.2,25.1
25.01.2021,195.1,41.9,125.9,379.2,255.3,2.3,287.7,0.5,2.1,1.9,12,13.8,28.2,113.7,27.1
26.01.2021,195.8,44.8,126.2,376.6,247.2,2.2,265.2,0.5,1.7,1.8,11.4,13.1,34.4,304.6,23.2
27.01.2021,195.8,46.3,125.1,382.4,233.6,2.3,263.5,0.5,2.2,1.8,11,12.7,70.1,259.7,23.6
28.01.2021,195.5,46.4,125.4,374.4,217.3,2.2,256.7,0.5,2,1.9,10.5,12.1,52,225.4,15.5
29.01.2021,193.8,52.8,126.3,361.4,103.9,2.2,174.6,0.4,1.1,1.9,11.1,12.7,148.2,405.9,30.7
30.01.2021,195.8,50,125.4,335.3,92.1,2.2,181.7,0.5,3,1.8,11.3,13,24.9,194.8,24.2
