Tag,Kernenergie(GWh),Laufwasser(GWh),Biomasse(GWh),Braunkohle(GWh),Kohlegas(GWh),Steinkohle(GWh),Öl(GWh),Erdgas(GWh),Geothermie(GWh),Speicherwasser(GWh),Andere(GWh),Erneuerbarer Müll(GWh),Nicht-erneuerbarer Müll(GWh),Wind Offshore(GWh),Wind Onshore(GWh),Solar(GWh)
01.01.2019,171.2,43.1,125.6,123,11.1,64.6,3.5,70.4,0.3,2,0.5,14.3,16.7,54.9,749.1,10.7
02.01.2019,196.8,41.3,126,222.3,10,137.5,3.5,111.5,0.4,1.7,0.6,13.1,15.3,76.1,609,33
03.01.2019,227.4,41.3,126.9,341.8,10.2,300.2,3.4,203.3,0.4,1.6,0.6,13.6,15.9,63.9,229,23.9
04.01.2019,221.7,41.4,127.6,361.9,10.7,207,3.5,172.4,0.4,2.2,0.7,12.7,14.9,88.1,439.9,10.1
05.01.2019,219,40.8,126.7,316.5,11.5,136,3.5,135,0.3,2.1,0.7,12.5,14.5,88.8,519.3,7.2
06.01.2019,225.4,40.9,126.4,370.5,11.5,213.7,3.6,160.2,0.3,2.5,0.7,13,15.2,64.6,188.1,12.5
07.01.2019,223.1,43.5,126.5,356.3,12.1,272.6,3.5,196.4,0.4,2.7,0.7,11.4,13.3,70.6,368.4,11
08.01.2019,216,45.8,125.3,216.4,11,108.7,3.5,129.6,0.4,1.9,0.6,13.5,15.7,88.4,869.2,14.3
09.01.2019,221.9,45.1,125.8,275.2,7.6,188.3,3.5,160.9,0.4,1.8,0.6,13,15.2,108.3,665.1,13.8
10.01.2019,227.4,45.8,127.8,346.3,7.9,369.7,4.2,252.5,0.4,5.8,0.7,13.2,15.4,23.5,158.9,11.6
11.01.2019,219.1,45.9,128.8,348.8,10.8,296.3,3.8,221.2,0.4,2,0.7,13.2,15.4,102.6,389.9,5.7
12.01.2019,213.8,42.5,128.8,263.7,11.7,124.5,3.5,131.3,0.4,1.3,0.7,13.4,15.6,106.1,611.1,7.3
13.01.2019,208.9,43.5,127.4,133,12.4,62.9,3.5,82.1,0.4,2.4,0.5,13.4,15.6,108.1,788,6.4
14.01.2019,204.5,52.1,126.6,198.7,13.4,146.2,3.5,148.7,0.4,3,0.6,11.9,13.9,102.8,733.5,26.8
15.01.2019,216.4,50.3,126.1,256.5,12.4,186.4,3.6,167.8,0.4,2.9,0.7,10.9,12.8,84.2,740.2,16
16.01.2019,216.2,46.7,127.2,295.4,11.7,169.5,3.5,181.4,0.4,1.6,0.7,10.8,12.6,107.2,620.1,32.9
