Tag,Kernenergie(GWh),Laufwasser(GWh),Biomasse(GWh),Braunkohle(GWh),Kohlegas(GWh),Steinkohle(GWh),Öl(GWh),Erdgas(GWh),Geothermie(GWh),Speicherwasser(GWh),Andere(GWh),Erneuerbarer Müll(GWh),Nicht-erneuerbarer Müll(GWh),Wind Offshore(GWh),Wind Onshore(GWh),Solar(GWh)
17.01.2019,217,45,126.9,321.2,11.1,194.2,3.4,166.1,0.4,1.3,0.7,10.8,12.6,116.2,628.5,21.3
18.01.2019,225.8,46.3,126.8,384.1,9.7,356.9,3.4,231.3,0.4,3.6,0.6,10.4,12.2,31.2,222.6,50.2
19.01.2019,227.6,47.5,128.6,371.4,10.6,362.1,3.5,185.8,0.5,1.7,0.6,10.7,12.5,28.2,107.4,66.8
20.01.2019,227.5,44.3,128.9,368.3,11.2,353.7,3.5,190.9,0.4,1.6,0.6,10,11.7,9.8,52.5,56.7
21.01.2019,227.3,45.2,128.7,394.7,10.6,399.8,3.6,269.3,0.4,4.2,0.6,10.4,12.1,39.4,93.1,54.8
22.01.2019,227.2,48.1,129.3,394.3,9.6,388,4.4,259.4,0.4,4.5,0.6,10,11.7,97.4,195.5,39.7
23.01.2019,227.6,47.4,129.4,394.3,9.3,389.8,4.2,291.8,0.4,5.5,0.6,11.8,13.7,32.9,135.2,28.6
24.01.2019,227.9,47.7,127.4,393.3,10.1,379.7,4.6,306.5,0.4,5.5,0.6,14.3,16.6,15.6,36,15.4
25.01.2019,227.3,47.2,129.3,388.7,11.2,353.7,3.7,278.2,0.4,3.7,0.6,12.7,14.9,56.8,124.7,17.2
26.01.2019,226.3,42.5,128.5,350.5,9.4,203.3,3.5,152.7,0.4,1.7,0.6,12,14.1,68.7,432.4,12.2
27.01.2019,222.8,37.9,127.5,290.2,11.6,129.7,3.5,114.9,0.4,2,0.6,12.4,14.4,81.9,504.4,25.4
28.01.2019,226,37.8,125.2,370.9,10.6,274.2,3.5,192.8,0.4,1.8,0.6,12.5,14.6,75.1,418.4,25.8
29.01.2019,226.9,42.4,126.2,363.5,7.6,359.8,3.5,245.7,0.4,4.3,0.6,12.5,14.6,83.2,264.5,38.1
30.01.2019,222.5,41.5,126.9,379.2,7.2,327.5,3.6,235.9,0.3,3.6,0.6,7.3,8.5,75.3,370.9,35.9
31.01.2019,227,41.7,127.2,384.3,6.8,384.1,3.5,249.5,0.3,3.2,0.6,13.7,16,62.6,183.3,57.7
01.02.2019,224.5,40.9,128.6,354.9,7.2,333.9,1.4,240.7,0.4,2.5,0.6,13.8,16.1,95.3,260.9,21.6
02.02.2019,226.7,41.1,128.3,360.2,10.4,310,1.5,184.2,0.4,2.8,0.6,14.8,17.3,31.7,82.6,21.2
03.02.2019,226.3,39.2,127.6,353.6,9.2,225.3,1.5,173.3,0.4,1.7,0.6,14.8,17.2,63.6,223.4,20.7
04.02.2019,214.7,38.1,126.9,350.3,12.6,256.7,1.5,188.6,0.4,1.7,0.6,14.1,16.5,97.8,382.8,59.9
05.02.2019,218.7,40.7,126.9,379.7,10.6,303.3,1.5,243.5,0.5,2.5,0.7,11.7,13.6,79.6,280,37.3
06.02.2019,226.9,40.1,127.8,387.8,8.9,299.9,1.4,236.1,0.5,2.1,0.7,11.2,13.1,91.3,274.8,57.9
07.02.2019,223.6,39.7,127.8,333.6,11.1,187.9,1.5,162,0.5,2.2,0.7,12.1,14.1,82.9,514.4,29.3
08.02.2019,218.2,40.9,127.8,259,11.2,118.9,1.4,138.3,0.5,1.8,0.7,12.7,14.8,106.7,663.4,58.9
09.02.2019,196.4,39.2,124.7,118,11.5,66.2,1.4,74.2,0.4,2.4,0.5,13,15.1,87,835.7,60.7
10.02.2019,200.2,39.5,127,133.8,9.9,50.3,1.4,83.3,0.4,1.6,0.5,12.9,15.1,79.9,702.9,26.8
11.02.2019,209,45.5,125.8,251.6,8.1,120.9,1.4,125.4,0.4,2.2,0.6,12.9,15,84.8,708.7,42.5
12.02.2019,223.5,45.7,127.5,367.9,9,273.5,1.5,196.3,0.4,1.9,0.7,13.1,15.2,79.2,390.4,49.3
13.02.2019,222.1,44.6,128.5,379.1,9.4,249.4,2,202.5,0.4,1.6,0.7,13.4,15.7,107,362.6,76.3
14.02.2019,226.4,44.6,128.3,400.1,9.4,294.9,2.1,200.1,0.4,1.7,0.7,13.7,16,62.2,125.7,109
15.02.2019,225.2,45.9,127.8,401.4,8.8,247.3,2.1,183.1,0.5,1.6,0.7,14,16.4,52.1,153.6,133.9
16.02.2019,220.4,43.8,129.1,367.9,10.6,118.5,2.1,114,0.5,1.4,0.7,14.4,16.8,102.3,282.5,135.3
17.02.2019,225.6,40.7,128.7,396.6,10.3,118.5,2.1,111.8,0.4,1.9,0.7,14.4,16.8,64.7,149.5,129.1
18.02.2019,225.7,42,127.9,399.2,11,211.4,2.1,156.7,0.5,1.8,0.7,14.6,17.1,67.6,189,138.4
19.02.2019,217.6,43.3,127.5,369.3,10.7,178.3,2,157.7,0.4,1,0.7,15.1,17.6,114.5,465.9,70.5
20.02.2019,225,44.2,127,378.4,10.2,229.4,2,181.7,0.5,0.9,0.6,15,17.6,103,268.6,79.6
21.02.2019,224.7,45.7,128,410,10.5,220.3,2,175.8,0.5,1,0.6,15.3,17.8,90.5,325.1,67.4
22.02.2019,225.4,49.1,128.8,414.5,10.5,249.6,2,180.2,0.5,2.3,0.6,15.2,17.7,36.5,201.1,50.4
23.02.2019,225.8,50.5,129.4,384.4,8.5,154.2,2,114.9,0.5,1.9,0.6,15.1,17.6,35.6,179.2,136
24.02.2019,221.5,45.7,128.4,386.5,10.6,151.5,2,115.8,0.5,1.8,0.6,14.8,17.2,16.6,88.4,135.2
25.02.2019,224.7,45,128,395.6,10.7,223.3,2,172.3,0.5,2.5,0.6,12.5,14.6,16.9,97.1,147.1
26.02.2019,225.5,46.9,126.8,384.2,10.2,240.9,2,182,0.5,4.2,0.6,8.8,10.3,9.1,76.1,139
27.02.2019,225.1,48,124.7,376.1,7.5,210.4,2,168.9,0.5,3.6,0.5,9.2,10.7,43.4,135.1,158.3
28.02.2019,223.3,49,125.2,368.1,8.2,169.7,2,117.7,0.4,1.9,0.5,15.6,18.2,35.9,404.2,128.7
01.03.2019,225.3,53.3,128.2,368.4,8.4,236,2.5,149.7,0.5,1.6,1.1,15.9,18.5,36.9,176.6,33.8
02.03.2019,225.3,56.3,128.7,349.4,8.7,131.3,2.5,113.8,0.5,1.1,1.2,15.4,17.9,58.6,196.6,37.3
03.03.2019,167.3,48.7,126.6,137.1,9.4,40.5,2.5,64.7,0.4,1.3,0.8,14.9,17.4,110.2,724.1,51.5
04.03.2019,206.3,49,123.9,151.9,10.9,62.7,2.5,102,0.4,2.8,0.9,15,17.5,91.8,840.4,63.9
05.03.2019,217.2,51.5,125,242.1,11.1,82.5,2.4,122.8,0.5,1.8,1,14.8,17.2,86.5,659.4,74.1
06.03.2019,223,51.1,125,296,9.3,86.3,2.3,112.8,0.5,2.1,1.2,14.8,17.3,113.1,485.2,106
07.03.2019,215.9,51.8,125.8,202.6,10.1,84.4,2.3,104.9,0.4,1.4,1.1,14.6,17,122.1,727.5,74
08.03.2019,203.9,53.3,126.2,196.8,9.6,94.3,2.3,108.3,0.5,3.2,1.1,14.3,16.6,118.1,686.8,88.4
09.03.2019,189.8,50.9,125,119.4,10,48.6,2.4,82.8,0.4,3.5,1,13.6,15.9,114.3,803.8,62.8
10.03.2019,215.8,52.5,125.5,153.8,9.9,45.1,2.3,89.5,0.4,4.4,1.1,13.9,16.2,60.2,478.7,54.4
11.03.2019,223.8,56.1,125.9,242.5,5.9,74.4,2.3,105.3,0.4,6.1,1.2,8.2,9.5,64.9,581.8,70.6
12.03.2019,221.5,55.3,126.8,246.9,8.2,79.3,2.4,102.8,0.4,3.9,1.2,8,9.4,111.8,570,117.5
13.03.2019,218.3,51.8,121,152.8,9.8,98.3,2.4,91.5,0.4,3.3,1.3,7.3,8.6,109.5,841.7,84.5
14.03.2019,223.1,50.6,118.8,194.2,9.4,88.1,2.4,92,0.4,3.2,1.2,1.6,1.9,124.9,761.6,36.1
15.03.2019,220.3,54,119,184.1,8,74.8,2.4,95.8,0.4,2.8,1.1,7.5,8.7,123.5,783.9,38.3
16.03.2019,213.8,56.7,119,128,9.4,46,1.7,73.7,0.4,2.4,1,7.9,9.2,117.8,666.7,56.2
17.03.2019,192.9,54.6,118.9,121.4,9.7,48.2,1.1,58.6,0.4,3.7,1,10.5,12.2,108.9,665.3,109.3
18.03.2019,213.2,55.5,117.7,220.8,9.7,122.6,1,106.9,0.4,4.2,1.2,13.8,16.1,104.4,612.2,108
19.03.2019,226.3,55.9,122.2,349.1,9,233.3,1.1,174.5,0.4,3.8,1.3,12.4,14.5,40.8,167,143.4
20.03.2019,224.9,55.3,127.8,368.9,9.9,185.4,1.1,164.8,0.4,4.8,1.2,13.1,15.3,74.4,170.6,170.2
21.03.2019,224.8,53.9,127.7,382.4,10.2,181.8,1.1,160,0.4,5.9,1.2,13,15.2,87.6,132.6,174.8
22.03.2019,225.1,54,127.6,400,11,176.9,1.1,159.8,0.4,3.9,1.2,13.3,15.5,28.5,84.3,174.1
23.03.2019,224.8,53.7,127.4,373.8,10.1,83.9,1.1,106.6,0.4,2.4,1.2,14.6,17,44,150.2,164.3
24.03.2019,224,52.8,127.3,323.2,9.9,65.6,1.1,91.5,0.4,2.1,1.1,14.9,17.4,55.3,123.9,145.6
25.03.2019,223,53.5,126.6,296.2,11.4,98.6,1.1,97.9,0.4,2.2,1.2,14.8,17.3,121,465.8,115.5
26.03.2019,216.7,53,127.3,368.8,10.9,139.9,1.1,116.1,0.4,3.1,1.3,14.6,17.1,93.1,364,91.1
27.03.2019,223.9,51.3,126.9,390.2,6.3,155.3,1.1,155,0.4,3.1,1.3,12.4,14.5,60.8,181.5,97.4
28.03.2019,225.2,49.4,124.2,391.8,6.4,155,1.1,171,0.4,3.9,1.3,12.6,14.8,15.2,99.6,108.5
29.03.2019,224.5,49,124.4,379.6,5.9,98.2,1.1,153.2,0.3,2.8,1.2,13.1,15.3,55.1,89.7,185.2
30.03.2019,224.2,47.8,126.7,313.9,6.8,66.3,1.1,86,0.4,2.9,1.2,13.3,15.5,32.9,121.2,216.4
31.03.2019,207.1,46,121.2,254.5,6.7,52.4,1.1,68,0.4,2.1,1,11.2,13.1,54,195.2,178.9
01.04.2019,223.9,48.1,125.9,352,7,79.4,1.5,107.2,0.4,3.2,0.4,11.4,13.3,31.1,270.1,226.8
02.04.2019,219.4,50.3,125.9,365.2,8,103.9,1.6,96.9,0.4,2.4,0.3,11.5,13.4,90,360.5,186.6
03.04.2019,223.6,52.1,126,387.5,8.6,196.3,1.6,147.2,0.4,3.1,0.3,11.3,13.2,34,162,126.4
04.04.2019,224.4,54.4,126.6,365.1,7.1,223.9,1.7,173.2,0.4,5.1,0.3,11.2,13.1,25.5,138.1,112.9
05.04.2019,225.5,56.2,126.6,363.7,8.6,219.2,1.6,164.5,0.4,5.4,0.3,11.6,13.5,44.4,84.5,84.2
06.04.2019,224.5,53.8,126.6,335.1,10.5,144.8,1.6,87.3,0.4,4.1,0.3,9.4,10.9,34.6,143.4,183.4
07.04.2019,223.5,51.7,123.8,326.1,11.7,112.4,1.6,75.9,0.4,2.7,0.3,9.3,10.9,17.6,157.2,198
08.04.2019,219.8,53.3,115.2,359.6,9.4,229.1,1.6,122.4,0.4,2.7,0.3,9.5,11.1,67.3,144.2,154.2
09.04.2019,222.4,52.5,114.4,359.1,9.1,201.5,1.6,134.9,0.4,2.6,0.3,15.2,17.8,59.8,227.3,154.5
10.04.2019,223.5,54,115.7,373.7,9.3,171.6,1.6,143.3,0.4,1.8,0.3,15.2,17.8,47.7,254.6,163.4
11.04.2019,224.8,53.8,116.4,368.1,10.3,205.7,1.6,145.8,0.4,1.9,0.4,15.3,17.8,18.9,215.9,159.1
12.04.2019,225.3,52.9,118.3,367.3,9.9,198.9,1.6,157,0.4,2.3,0.4,16,18.6,32.3,166.9,118.6
13.04.2019,210.3,51.3,126.6,361.2,10.5,126.3,1.6,114.6,0.4,3.9,0.4,15.9,18.6,79.3,187.4,130
14.04.2019,193,47.6,126.8,353.7,9.9,94.8,1.6,89,0.4,2.2,0.4,15.9,18.6,87.1,235,122.1
15.04.2019,191.2,46.2,123.9,358.1,11.2,114.9,1.6,100.6,0.4,1.5,0.4,15.8,18.5,96.4,277.1,238.6
16.04.2019,191.5,46.9,124.7,327,11.1,103.7,1.7,122.6,0.5,2.4,0.3,15.4,18,109,322.3,234.3
17.04.2019,190.4,49.5,126,334.6,9.6,116.2,1.6,134.6,0.5,2.3,0.3,15.8,18.4,107.8,290.3,212.9
18.04.2019,186.2,49.9,125.3,275,10.2,82.2,1.6,93.2,0.4,1.8,0.3,15.9,18.6,104.1,365.5,248.6
19.04.2019,186.3,50.2,124.5,221.2,9.8,41.7,1.6,61.9,0.4,1.3,0.3,15.1,17.6,63.8,271,252
20.04.2019,184.1,50.5,124.9,220.2,9.1,44.3,1.6,69.4,0.4,2.3,0.3,13.8,16.1,23,157.9,252.2
21.04.2019,132.2,51.2,124.7,188.9,9.6,45,1.6,53.4,0.4,1.1,0.3,13.6,15.9,14.6,124.8,253.9
22.04.2019,102.3,49.5,122.3,117.1,8.8,42.8,1.8,42.4,0.4,4.1,0.3,12,14,94.3,418.2,250.6
23.04.2019,134.3,52.2,122.6,130.3,10,50.8,1.8,68.2,0.4,4.3,0.3,13.5,15.7,115.6,631.9,197.9
24.04.2019,153.8,54.9,122.1,205.5,7.6,50.6,1.8,71.5,0.4,3.1,0.3,8.3,9.7,121.3,391.2,220.2
25.04.2019,157.8,56.9,121.7,231.2,7.5,81,1.8,94.1,0.4,5.2,0.3,8.3,9.6,59.9,286.8,224.4
26.04.2019,159.6,61.3,123.3,258.9,7.5,112.1,1.9,106.6,0.4,5.2,0.3,10.8,12.6,18.6,257.1,114.4
27.04.2019,151.9,61.6,124.9,242.1,9.3,66.5,1.9,66.2,0.4,3.7,0.3,15.3,17.8,43.9,228.2,133.5
28.04.2019,158.6,59.7,125.1,283.7,9.8,77.6,1.8,69.8,0.5,4.2,0.3,15.3,17.8,8.6,110.9,141.4
29.04.2019,160.3,58.3,123.7,322.6,9.7,146.1,1.8,110.5,0.5,5.4,0.3,15.2,17.7,35.2,224.8,107.9
30.04.2019,159.4,59.3,125.2,309.7,9.4,151.1,1.8,111.4,0.4,3.7,0.3,15.1,17.7,22.4,152.7,209.7
01.05.2019,153.1,55.8,125.3,207.4,9,61.5,1.7,69.6,0.4,3.1,0.2,15.1,17.6,62.5,214.6,198
02.05.2019,155.8,51.9,125.2,234.9,8.7,101.3,1.6,97.6,0.4,4.4,0.3,15.3,17.9,100.6,349.9,175.3
03.05.2019,158.5,57.9,123.3,258.3,9.2,115.4,1.7,127,0.4,4.9,0.3,15.5,18.1,100.6,311.5,133.3
04.05.2019,156.5,57.7,123.7,233.3,8.7,113.1,1.6,83.5,0.4,2.2,0.3,15.5,18.1,87,230.1,123.3
05.05.2019,159.1,55.3,125.8,216.1,9.8,92.4,1.6,73.2,0.5,2.7,0.3,15.5,18.1,87.4,162.3,162.2
06.05.2019,159.9,54.1,124.3,308,8.8,167.1,1.6,109.6,0.4,3.9,0.3,15,17.5,99.2,241.3,148.8
07.05.2019,159.9,56.6,125,346,8.8,220.5,1.6,131.4,0.4,4.1,0.3,14.8,17.3,37.6,92.6,185.3
08.05.2019,159.9,56.8,124.5,339.4,8.6,166.9,1.6,120.5,0.4,4.9,0.3,14.7,17.2,60.1,273.8,120.6
09.05.2019,159.4,56.1,120.4,322.7,8.8,162.7,1.7,123.7,0.4,4,0.3,9.7,11.3,51.3,208.9,151.5
10.05.2019,159.4,57.9,124.3,351.2,7.8,172.4,1.6,130.4,0.4,4.3,0.3,15.1,17.6,31.4,194,153
11.05.2019,158.6,58.8,124.5,306.7,8.6,88.2,1.6,92.6,0.4,2.1,0.3,15.8,18.4,29.2,222.8,116.1
12.05.2019,152,62,123.9,187,9.1,42.8,1.5,62.8,0.4,2,0.3,15.6,18.1,67.7,327.1,190.6
13.05.2019,158.2,60.1,124.1,275.5,8.8,124,1.5,93,0.4,2.9,0.3,15.7,18.4,27.5,255.6,252.4
14.05.2019,158.8,59.3,123.8,298.4,9.5,135.5,1.5,100.1,0.4,2.7,0.3,15.7,18.3,10,236.7,218.1
15.05.2019,159,55.7,123.7,331.2,3.9,139.8,1.6,107.6,0.4,3.1,0.3,10.2,11.9,12.1,221.3,189.8
16.05.2019,158.6,53,123.9,337.3,4.7,153.3,1.6,121.1,0.3,3.2,0.3,15.8,18.4,67.3,209.8,102.1
17.05.2019,150.5,55.1,124.9,323,6.5,151.9,1.5,115.4,0.3,4.4,0.3,16.1,18.7,73.6,107.9,180.7
18.05.2019,128.9,55.4,123.9,302.9,8.1,117.5,1.5,88.2,0.3,1.7,0.2,14.9,17.4,39.7,114.8,246.5
19.05.2019,128.5,54.6,122.8,286.7,8.5,100.3,1.5,69.1,0.3,1.5,0.2,14.9,17.3,28.9,102.9,219.8
20.05.2019,129,61.6,122.9,336.3,7.5,163,1.6,124.9,0.3,4.4,0.2,9.9,11.6,22.5,168.5,107.1
21.05.2019,128.7,57.9,123.4,326.7,6.9,137.9,1.6,109.3,0.3,2.7,0.2,15.8,18.4,64.6,315.3,89.3
22.05.2019,128.9,58.9,123.8,319.3,5.6,133.2,1.6,106.6,0.3,2.9,0.2,15.9,18.6,59.5,351.2,107.3
23.05.2019,129.4,61.1,123.6,318.2,5.9,123.1,1.5,111.4,0.4,1.8,0.2,16.1,18.7,51.3,75.5,254.1
24.05.2019,129.2,62.4,122.5,296.2,8.6,94.6,1.5,107.9,0.4,2.9,0.2,16.1,18.7,53.2,145.4,240.5
25.05.2019,128.8,64.4,123.5,232.9,8.6,64.1,1.5,96.6,0.4,2.1,0.2,15.9,18.5,39.1,118.3,183.6
26.05.2019,117.3,64.3,123.2,163.5,6.7,47.5,1.4,59.5,0.4,1.9,0.2,15.1,17.7,100.9,280.3,205.5
27.05.2019,137.4,65.6,123,238.2,7.8,89.8,1.4,104.6,0.4,3.9,0.2,15.6,18.2,103.2,235.8,162.1
28.05.2019,159.6,64.8,120.4,267.8,7.5,118.8,1.4,137.5,0.4,4.7,0.2,16,18.7,29,111.2,128.7
29.05.2019,169.3,61.8,114.9,259.5,7.9,113.3,1.4,129.8,0.4,5.2,0.3,10.1,11.7,28.2,84.6,193.9
30.05.2019,158,64.2,121.8,169.9,6.6,55.2,1.5,54.1,0.4,4.2,0.2,15.8,18.5,113,276.5,201.6
31.05.2019,165.5,65.9,122.4,223.2,6.9,59.1,1.4,86.4,0.4,4.4,0.2,9.9,11.5,51.2,145.9,177.9
01.06.2019,178.8,66.1,121.6,188.8,7.3,47,1.1,56.5,0.4,3.7,0.2,15.4,18,51.6,89.1,259
02.06.2019,180.6,66,118.4,163.8,8.3,45.2,1.1,40,0.3,4.9,0.2,14.6,17,39.7,136.6,270.5
03.06.2019,184.6,65.8,117.1,251,7.4,107.2,1.1,94.5,0.3,5.3,0.2,13.1,15.3,43.3,187.4,223.6
04.06.2019,187.4,61.5,118.1,278.2,8.3,129.1,1.1,108.5,0.3,5.1,0.2,13.7,16,36.2,123.2,249.8
05.06.2019,170,62.6,115.7,258,7.6,103.4,1.1,104.7,0.3,5.3,0.2,13.5,15.7,57.7,182.7,248.9
06.06.2019,155.6,60.8,117.9,220,8,94.2,1.1,104,0.4,6.3,0.1,13.8,16.1,68.7,299.3,142.8
07.06.2019,156.5,61.5,119.8,217.2,7.9,92.1,1.1,93.1,0.4,4.8,0.2,14.4,16.8,42.4,206.2,255.4
08.06.2019,120.8,55.5,119.3,105.9,8.7,40.1,1.1,34.5,0.4,4.9,0.2,8.3,9.7,95.5,517.8,200
09.06.2019,123.2,63.6,120.5,123.6,8.6,47,1.1,49.2,0.4,4.4,0.2,9.3,10.9,56.1,155.5,235.6
10.06.2019,125.2,62.5,119.3,160,8.7,59.2,1.1,61.3,0.4,6,0.2,9.4,10.9,82.9,140.4,159.6
11.06.2019,125.6,53.7,119,260.6,9.1,131.6,1.2,109.5,0.4,6.2,0.2,3.5,4.1,61.3,86.1,172.4
12.06.2019,125.6,48.5,118.9,298.6,8.5,151.6,1.6,128.5,0.4,6,0.2,8.8,10.3,33.7,161.9,147.9
13.06.2019,125.6,48.1,120.3,260.7,9.5,103.1,1.4,109.7,0.4,6.5,0.2,3,3.5,63.4,200.9,242.9
14.06.2019,124.8,53.5,120,277,8.9,118.3,1.5,121.1,0.3,7.2,0.2,2.9,3.4,40.4,150.4,227
15.06.2019,123.1,56.5,118.6,184.2,8.5,51.1,1.5,80.9,0.3,5.8,0.2,8.8,10.3,53.1,291.5,201
16.06.2019,124.8,56.8,120.4,196.7,6.9,55.3,1.6,75.8,0.3,4.9,0.2,2.8,3.3,37,75.3,161.4
17.06.2019,137.6,59.4,119.3,313.2,8.6,129.1,1.6,120.6,0.3,5.8,0.2,8.7,10.1,32.7,46.8,255
18.06.2019,140.5,59.4,117.8,316.1,5.4,138.4,1.6,131.7,0.3,6.6,0.2,9,10.5,11.5,107.8,252.7
19.06.2019,145.9,59,115.8,310.1,5.5,135.9,1.6,134.2,0.3,6.6,0.2,9.2,10.7,25.6,122.9,239.7
20.06.2019,150.8,59.4,117.9,279.2,7.8,83.5,1.6,127.2,0.3,6.6,0.2,9.4,11,17,135.1,171.2
21.06.2019,153.1,60.1,119.4,274.3,8.7,71.6,1.6,129.2,0.3,6.9,0.2,9.4,10.9,18.4,72,216.4
22.06.2019,154.6,60.9,120,227.8,8.6,47.1,1.6,76.5,0.4,5.8,0.2,9,10.5,8.1,148.2,202.2
23.06.2019,153,63.3,119.1,174.4,8.6,31.7,1.6,55.8,0.3,6.7,0.2,8.7,10.2,57.7,200.3,236.9
24.06.2019,154.2,64.1,117.3,230.8,7.5,62.7,1.6,104.2,0.3,7.4,0.2,8.8,10.2,106.6,230.7,274
25.06.2019,152.7,61.8,113.9,274.7,8.4,114.2,1.8,121.5,0.2,8.2,0.2,8.7,10.1,51,166.7,263
26.06.2019,166.1,60,109.3,263.1,6.9,120.9,1.6,114.3,0.2,7.7,0.2,9.2,10.7,75.8,196.8,257.9
27.06.2019,178.4,58.8,108.9,216.1,8.4,84.6,1.7,118.2,0.2,8.2,0.2,9.5,11.1,81.3,260.7,253.8
28.06.2019,184,57.3,118.4,239.8,7.8,93.6,1.8,131.7,0.3,8.2,0.2,9.5,11,16,75.9,265.7
29.06.2019,183.6,58.6,118.1,191.9,8.9,43.6,1.9,98.9,0.2,8.6,0.2,8,9.3,12.6,53.5,280.1
30.06.2019,179.1,59,113.1,146.5,8.6,29.5,1.8,53.5,0.2,8,0.2,7.7,9,80.3,265.3,268.2
01.07.2019,180.6,59.7,115,204.7,8.8,63.4,1.3,119.5,0.2,8,0,8,9.4,102.8,278.6,208.4
02.07.2019,180.9,59.1,111.9,191.9,9.2,73.8,1.3,130.6,0.2,6.8,0,6.9,8.1,94.9,302.9,230.5
03.07.2019,183.4,60.7,118.9,214.8,7.4,72.9,1.2,137.6,0.2,7.1,0,7.3,8.6,82.7,193.9,241.7
04.07.2019,181.5,61.2,119.1,217.9,7.6,82.7,1.2,116.4,0.3,7.2,0,7.2,8.4,102.7,193.4,263.1
05.07.2019,182.6,61.2,119.2,209.4,7,83.2,1.2,126.4,0.3,8,0,8.2,9.5,66.9,230.4,201.9
06.07.2019,182,61,117.9,189.3,6.5,39,1.2,64.3,0.2,7.6,0,9,10.5,91.6,244.8,195.6
07.07.2019,180.6,61.8,118.5,145.1,8.2,33.3,1.2,55.6,0.3,6.6,0,8.9,10.4,103.3,284.1,157.5
08.07.2019,183,62,118.3,234.7,10.4,73.2,1.3,116.8,0.3,6.2,0,3.6,4.2,61.2,202.1,171.5
09.07.2019,192.6,60.8,110.2,236.2,6.8,84.6,1.3,132.5,0.3,6,0,3.7,4.4,65.8,174.1,187.2
10.07.2019,212,59.8,111,281.2,8,116.4,1.3,147.3,0.3,6.6,0,8.1,9.4,28.6,97.6,247.4
11.07.2019,212.9,59.7,116.1,298.7,7.5,160.2,1.3,160.6,0.3,7.1,0,8,9.3,9.8,43.4,129.7
12.07.2019,201.8,59.3,111.8,299,9,153.4,1.2,153.4,0.3,6.3,0,9.6,11.2,8.6,80,150.6
13.07.2019,181.9,61.7,112.1,254.3,8.6,63.3,1.3,71,0.4,5,0,9.2,10.7,39.4,160.6,144.2
14.07.2019,182.1,60.9,112.4,259.2,8.5,53.3,1.3,55,0.4,5.5,0,3.1,3.6,45.4,97.4,138.8
15.07.2019,179,58.5,112.4,295.5,9.5,95.2,1.3,130.2,0.4,5,0,9.9,11.6,56.9,141.8,156.7
16.07.2019,178,56.9,111.5,305.5,7.4,115.6,1.3,142.3,0.3,4.9,0,9.6,11.2,52.6,183.3,194.9
17.07.2019,179.8,56,111,321.9,6.9,131.4,0.9,142.4,0.3,5.8,0,3.8,4.4,4,40.4,219.4
18.07.2019,180,55.9,110.7,309.4,5.3,134.7,0.9,155.5,0.4,5.1,0,9.8,11.5,22.1,48.8,228
