Tag,Kernenergie(GWh),Laufwasser(GWh),Biomasse(GWh),Braunkohle(GWh),Steinkohle(GWh),Öl(GWh),Erdgas(GWh),Geothermie(GWh),Speicherwasser(GWh),Andere(GWh),Erneuerbarer Müll(GWh),Nicht-erneuerbarer Müll(GWh),Wind Offshore(GWh),Wind Onshore(GWh),Solar(GWh)
01.01.2020,193.1,37.9,130.5,244.6,50.3,2.4,125.8,0.6,1.2,1.9,15.4,17.9,69.2,148.1,54
02.01.2020,192.1,37.1,131,251.2,62.8,2.4,144.5,0.6,2.2,1.9,15.4,17.8,144.1,247.4,42.1
03.01.2020,184,38.2,131.5,182.3,75.6,2.4,119.1,0.5,2,1.8,15.1,17.5,142.3,633.4,19.4
04.01.2020,180.8,39.2,130.4,171.7,75.9,2.4,114.2,0.5,1.6,1.8,14.4,16.7,113.7,686.5,13.9
05.01.2020,191.4,37.6,130.4,252.6,64,2.4,149.1,0.5,1,1.6,15.6,18.1,92.3,224.6,26.4
06.01.2020,190.1,36.1,130.7,244.6,147.5,2.3,213.8,0.5,1.6,1.8,15,17.4,141,252.8,40.4
07.01.2020,189.1,37.3,130.1,276.7,198.9,2,232.8,0.5,2.6,1.8,15.7,18.3,115.7,373,16.2
08.01.2020,187.9,40,129.5,264,220.1,2.1,225.9,0.5,1.9,1.8,15.5,17.9,101.8,471.8,10.3
09.01.2020,190.5,39.9,130.5,273.9,165,2.5,199,0.5,1,1.7,15.4,17.9,95.3,433.4,25.8
10.01.2020,186,39.7,131.3,271.1,157.1,2.5,188,0.5,2,1.7,15.3,17.8,84.1,525.4,32.5
11.01.2020,186.7,39.2,131.7,252,99.2,2.5,178.5,0.6,1.2,2,15.3,17.7,121.7,393.6,39.2
12.01.2020,179.7,34.7,127.8,157.4,88.1,2.5,116.4,0.6,1.9,2,14.7,17,124.9,656,36.4
13.01.2020,191.9,35.5,128.3,264.8,172.9,2.5,215.3,0.6,3.3,2.1,14.7,17.1,107,350.5,28.2
14.01.2020,184.5,38.7,126.8,192.9,104.9,2.4,136.5,0.6,1.9,1.8,13.6,15.8,132.2,779.1,40.6
15.01.2020,187.5,38.7,125.9,198.4,110,2.4,123.2,0.6,3.2,1.7,14.7,17,113.7,730.1,68.1
16.01.2020,187.5,38.2,127.5,277.2,148.2,2.4,216.7,0.6,2.9,1.9,15,17.4,121.1,335.9,69.8
17.01.2020,186.4,37,128.3,280.3,124.8,2.4,218.1,0.6,1,2,15.4,17.8,124.8,448.2,59.3
18.01.2020,185,35,129.2,273,97.9,2.4,170.8,0.6,1.4,2,15.4,17.9,119,402.8,31.9
19.01.2020,193.2,34.6,130.5,285,103.4,2.5,189.8,0.6,1.5,2,15.1,17.5,109,171.9,32.6
20.01.2020,191.7,34,131,317.7,300.6,2.5,302.3,0.5,3.1,2,15,17.3,71,146.2,47.9
21.01.2020,192.9,37,130.7,322,286.6,2.7,320,0.5,2.5,1.9,14.7,17.1,103.2,261.3,68.7
22.01.2020,192.5,37.4,130.9,353.8,345.1,2.8,322.2,0.6,4.1,1.9,7.9,9.1,52,192.6,26.8
23.01.2020,194.1,38.1,131.5,359.3,373,2.8,337.2,0.6,4.1,2,7.9,9.2,42.7,66.8,30.6
24.01.2020,194.1,38.2,132.4,349.8,364.4,2.5,327.7,0.6,3,1.9,11.7,13.6,76.6,123.6,49.6
25.01.2020,194,36.9,132.3,357.4,241.9,2.4,257.5,0.6,2.8,1.9,14.8,17.2,77.1,94.4,30.4
26.01.2020,193.6,34.7,131.3,286.8,142.1,2.4,194.3,0.6,1.7,1.9,15.1,17.5,89.8,138.9,39.8
27.01.2020,190.1,34,131.1,265.6,159.6,2.4,225.4,0.6,2.7,2,15.2,17.7,106.6,444.4,42.4
28.01.2020,179.1,37.8,129.2,185.4,93.3,2.4,170.1,0.6,1.3,2,15,17.4,102.6,705.6,26.6
29.01.2020,180.5,38.8,129.6,165.9,109.3,2.4,187.9,0.6,0.9,1.8,14.8,17.2,128.3,722.8,26.6
30.01.2020,175.7,39,129.4,184.7,97.2,2.4,153.4,0.5,1.9,2,13.8,16,128.5,701.5,48.9
31.01.2020,165.1,38.2,128.1,159.2,76.1,2.4,123.5,0.5,1.1,1.8,14.7,17.1,131.5,760.3,37.7
01.02.2020,165.7,39.6,129.2,95.8,54.2,1.8,81.2,0.5,1,1.7,14.1,16.3,140.4,768.4,34.7
02.02.2020,176.8,40.8,128.1,145.9,40.4,1.8,96.3,0.5,2,1.9,15,17.3,48.4,534.2,18.7
03.02.2020,184.8,54.1,127.6,195.3,62.2,1.8,145.1,0.6,1.7,2.2,14.7,17,110.4,546.4,22.8
04.02.2020,184,52.1,129,228,77.2,1.8,160.9,0.6,2.2,2.2,8.7,10.1,115.2,565.4,51.5
05.02.2020,191.1,53.7,129.6,286.9,176.7,1.8,252.2,0.6,2.6,2.3,13.9,16.1,55.8,321.7,92.2
06.02.2020,193.2,52.8,131,319.7,252.5,1.8,281.5,0.6,3.1,2.3,14.6,16.9,50.3,248.8,66.8
07.02.2020,192.6,51.6,130.5,312.5,211.2,1.8,280.9,0.6,2,2.2,14.7,17.1,53.9,170.7,81.1
08.02.2020,190.4,49.9,130.2,208.8,66.8,1.7,172.9,0.6,2.8,2.2,9.1,10.6,109.5,328.1,92.7
09.02.2020,141.3,45.9,127.1,103.6,63.9,1.7,72.7,0.6,2.2,1.5,8.3,9.6,89.7,736.9,84.7
10.02.2020,169.5,46.9,125.3,112.4,84.5,1.7,107.9,0.5,2.4,1.9,8.5,9.9,118.7,837.9,58.2
11.02.2020,173.1,52.3,127.4,115.4,88.7,1.7,106.5,0.5,2.3,1.9,8.5,9.9,119.8,906.1,55.5
12.02.2020,177.3,51.8,124.6,140.2,94.5,1.7,118.3,0.5,2.1,2,8.7,10.1,121.5,825,56
13.02.2020,189.2,50.5,129,214.8,113.7,1.7,192.9,0.6,2.2,2.2,14.7,17.1,93.7,498.9,44.6
14.02.2020,192.9,52,130,259.5,138.6,1.7,241.3,0.6,2.4,2.2,9,10.5,49.9,225.6,36.5
15.02.2020,173.3,51.6,129.1,122.9,50.6,1.7,104.6,0.5,1.5,1.8,14.9,17.3,135.5,535.2,101.5
16.02.2020,131.7,43.3,128,97.1,42.6,1.7,71.2,0.4,1.1,1.3,14.6,17,91.2,841.3,46.6
17.02.2020,171.1,46.3,127.8,143.9,78.3,1.7,111.1,0.4,1.7,1.7,8.5,9.9,130.3,724.3,48.2
18.02.2020,182.8,50,128.1,126.9,81.1,1.7,114.7,0.5,2.2,1.8,13.3,15.5,134.8,784.6,73.2
19.02.2020,184.5,49,126.6,153.7,71.1,1.7,164.9,0.5,2,2,8.5,9.9,124.1,682.2,61.1
20.02.2020,187.8,49,129,155.6,63.1,1.7,176.3,0.6,2.3,2.1,9.5,11,134.9,600.7,49.7
21.02.2020,185.8,48.3,126.4,106.8,77.4,1.7,126.2,0.6,2.3,2,8.7,10.1,141.4,719.3,100.3
22.02.2020,149.2,46.7,128.1,94.1,45.2,1.7,71.7,0.5,1,1.4,9,10.4,110.2,873.9,83.6
23.02.2020,167.7,43.5,128,90.4,43,1.7,72.5,0.5,1.9,1.5,9.2,10.7,118.8,753.5,21.3
24.02.2020,185.4,49.1,128.5,149.2,65.2,1.7,150.3,0.5,3.2,2,9.4,10.9,107.4,544.5,46.2
25.02.2020,175,50.8,128.7,168.9,87.2,1.7,133.8,0.5,2.5,1.9,9.5,11,120.1,723,65.9
26.02.2020,193,50.3,130,239.7,88.2,1.7,214.3,0.6,4.3,2.1,9.4,10.9,43.4,411.1,60.7
27.02.2020,193.7,50.9,130,251.2,154.5,1.8,264.3,0.6,6.1,2.1,9.4,10.9,64.6,253.1,53.3
28.02.2020,184.3,51.1,127.9,223.4,89.2,1.7,209.2,0.6,2.2,2.1,14.4,16.7,129.9,498.8,86
29.02.2020,178,48.2,127.7,96.6,58.6,1.7,93.4,0.5,2.4,1.4,14.5,16.8,134,721,78.1
01.03.2020,174.4,47.2,126.2,118.4,55.9,1.8,82.6,0.5,1.4,1.6,14.4,16.7,112.3,624.5,105.1
02.03.2020,191.9,47.4,124.8,260.9,172.3,1.8,207.8,0.5,2.9,2.2,14.3,16.6,43.8,245,103.4
03.03.2020,193.3,50.5,123.7,290.1,234.3,1.8,255.2,0.6,4.6,2.3,14.3,16.6,27.4,250.1,74.3
04.03.2020,193.2,50.7,125.1,296.5,254.1,1.8,263,0.6,2.9,2.5,9.5,11.1,31.6,197.2,90.3
05.03.2020,193.1,49.6,128.6,292.6,184.6,1.8,230,0.5,2.3,2.4,9.5,11,47.3,278.2,82
06.03.2020,189,49,129.2,226.5,108,1.8,214.3,0.5,3.5,2.5,14.8,17.2,101.1,450,38.7
07.03.2020,192.2,48,129,219.2,65,1.8,169.3,0.6,1.4,2.5,15,17.4,62.2,336.4,74.6
08.03.2020,183.4,45.5,127.9,136,48.7,1.8,96.5,0.6,1.9,1.9,14.6,17,131.7,469.2,111.2
